unified_id,kg_id,hgnc_id,symbol,entrez_id,ensembl_gene_id,uniprot_ids,refseq_accession,symbol_in_kg,biogrid_id
8067,59298,HGNC:6881,MAPK8,5599,ENSG00000107643,P45983,NM_001278547,MAPK8,111585
8068,92070,HGNC:1724,CDC23,8697,ENSG00000094880,Q9UJX2,NM_004661,CDC23,114242
8069,59305,HGNC:6737,LYPLA1,10434,ENSG00000120992,O75608,NM_001279356,LYPLA1,115701
8070,26539,HGNC:10913,SLC12A4,6560,ENSG00000124067,Q9UP95,NM_005072,SLC12A4,112449
8071,59308,HGNC:27022,ZPLD1,131368,ENSG00000170044,Q8TCW7,NM_175056,ZPLD1,126276
8072,59309,HGNC:26505,PUS10,150962,ENSG00000162927,Q3MIT2,NM_144709,PUS10,127335
8073,59310,HGNC:16809,SMURF2,64750,ENSG00000108854,Q9HAU4,NM_022739,SMURF2,122265
8074,92079,HGNC:24999,ARMC8,25852,ENSG00000114098,Q8IUR7,NM_015396,ARMC8,117376
8075,92086,HGNC:14461,SSC4D,136853,ENSG00000146700,Q8WTU2,NM_080744,SSC4D,126464
8076,92087,HGNC:13707,SCG3,29106,ENSG00000104112,Q8WXD2,NM_013243,SCG3,118874
8077,92089,HGNC:27329,R3HCC1,203069,ENSG00000104679,Q9Y3T6,NM_001136108,R3HCC1,128445
8078,26554,HGNC:15763,POLR3F,10621,ENSG00000132664,Q9H1D9,NM_006466,POLR3F,115866
8079,92091,HGNC:4566,GRB2,2885,ENSG00000177885,P62993,NM_002086,GRB2,109142
8080,26565,HGNC:32462,ZNF726,730087,ENSG00000213967,A6NNF4,NM_001348689,ZNF726,610475
8081,59335,HGNC:10532,SAP30,8819,ENSG00000164105,O75446,NM_003864,SAP30,114346
8082,92105,HGNC:12621,USP22,23326,ENSG00000124422,Q9UPT9,NM_015276,USP22,116914
8083,92106,HGNC:14491,MRPL40,64976,ENSG00000185608,Q9NQ50,NM_003776,MRPL40,122364
8084,92110,HGNC:8642,SLC45A3,85414,ENSG00000158715,Q96JT2,NM_033102,SLC45A3,124520
8085,59345,HGNC:30437,ASPHD2,57168,ENSG00000128203,Q6ICH7,NM_020437,ASPHD2,121421
8086,92113,HGNC:9053,PLAUR,5329,ENSG00000011422,Q03405,NM_002659,PLAUR,111345
8087,59347,HGNC:12339,TRPM2,7226,ENSG00000142185,O94759,NM_003307,TRPM2,113077
8088,26583,HGNC:13098,ZNF34,80778,ENSG00000196378,Q8IZ26,NM_030580,ZNF34,123310
8089,92121,HGNC:10659,SDC2,6383,ENSG00000169439,P34741,NM_002998,SDC2,112285
8090,59354,HGNC:7685,NDUFA2,4695,ENSG00000131495,O43678,NM_002488,NDUFA2,110775
8091,92122,HGNC:994,BCL2L11,10018,ENSG00000153094,O43521,NM_001204106,BCL2L11,115335
8092,59353,HGNC:23615,SLC35F2,54733,ENSG00000110660,Q8IXU6,NM_017515,SLC35F2,120116
8093,26589,HGNC:20174,INTS13,55726,ENSG00000064102,Q9NVM9,NM_018164,INTS13,120846
8094,26591,HGNC:2603,CYP26A1,1592,ENSG00000095596,O43174,NM_000783,CYP26A1,107964
8095,92131,HGNC:16837,LY86,9450,ENSG00000112799,O95711,NM_004271,LY86,114839
8096,26598,HGNC:23783,ZNF507,22847,ENSG00000168813,Q8TCN5,NM_014910,ZNF507,116519
8097,59368,HGNC:5184,HRH3,11255,ENSG00000101180,Q9Y5N1,NM_007232,HRH3,116416
8098,26603,HGNC:25991,RETSAT,54884,ENSG00000042445,Q6NUM9,NM_017750,RETSAT,120232
8099,26605,HGNC:7824,NINJ1,4814,ENSG00000131669,Q92982,NM_004148,NINJ1,110879
8100,59376,HGNC:15456,MBTPS1,8720,ENSG00000140943,Q14703,NM_003791,MBTPS1,114259
8101,59379,HGNC:20300,OIP5,11339,ENSG00000104147,O43482,NM_007280,OIP5,116467
8102,59382,HGNC:1951,CHRM2,1129,ENSG00000181072,P08172,NM_000739,CHRM2,107551
8103,26615,HGNC:11378,STEAP1,26872,ENSG00000164647,Q9UHE8,NM_012449,STEAP1,117921
8104,59384,HGNC:24535,DCAF13,25879,ENSG00000164934,Q9NV06,NM_015420,DCAF13,117393
8105,92150,HGNC:6171,ITK,3702,ENSG00000113263,Q08881,NM_005546,ITK,109907
8106,26618,HGNC:15991,LMLN,89782,ENSG00000185621,Q96KR4,NM_033029,LMLN,124601
8107,59386,HGNC:23206,LUZP2,338645,ENSG00000187398,Q86TE4,NM_001009909,LUZP2,130772
